Contractor Name,Contract ID,Purpose,Value of Sandy Funding,Sandy Spending to Date,Current Start Date,Current End Date,Original Start Date,Original End Date,Procurement Method,Estimated Job Creation
"ON SITE ENERGY COMPANY INC","CT185720145400526","SUPPLIES/MATERIALS/EQUIPMENT","286424","286424","05-Oct-13","05-Oct-14","05-Oct-13","05-Oct-14","EMERGENCY","3"
"OVE ARUP & PARTNERS","CT184120131406331","REQUIREMENTS-SERVICES","249230","249019","15-Oct-12","15-Oct-15","15-Oct-12","15-Oct-15","REQUEST FOR  PROPOSAL (RFP)","2"
"PARKEON INC","DO185720141425764","","438155","438155","23-Oct-13","23-Oct-13","","","","3"
"POWER CONCRETE CO., INC.","CT185020131402271","CONSTRUCTION","5666967","4362835","18-Feb-13","12-Jun-14","17-Sep-12","09-Jan-14","COMPETITIVE SEALED BIDDING","23"
"PRESIDIO NETWORKED SOLUTIONS INC","CT185720135402506","SUPPLIES/MATERIALS/EQUIPMENT","309855","300881","01-Dec-12","30-Jun-13","01-Dec-12","30-Jun-13","EMERGENCY","3"
"STATE OF NEW YORK","DO185720131328043","","137784","129131","17-Aug-13","17-Aug-13","","","","1"
"THE RBA GROUP NEW YORK","CT184120111420791","CONSULTANT","127360","126251","23-Dec-10","05-Jun-14","23-Dec-10","24-Dec-13","RENEWAL OF CONTRACT","1"
"URS CORPORATION-NEW YORK","CT185020141403362","REQUIREMENTS-SERVICES","1973928","1245559","24-Oct-13","22-Oct-17","26-Aug-13","24-Aug-17","REQUEST FOR  PROPOSAL (RFP)","8"
"VARSITY SHOP","DO185720131328593","","1060549","1060535","04-Feb-14","04-Feb-14","","","","12"
"WEIDLINGER ASSOCIATES INC","CT184120141426568","REQUIREMENTS-SERVICES","2591738","1336611","30-Jan-13","29-Jan-16","30-Jan-13","29-Jan-16","RENEWAL OF CONTRACT","9"
"WEIDLINGER ASSOCIATES INC","CT184120121417552","REQUIREMENTS-SERVICES","999111","990086","05-Sep-10","05-Sep-14","05-Sep-10","05-Sep-14","ASSIGNMENT","6"
"WELSBACH ELECTRIC CORP","CT184120131413396","CONSTRUCTION","1000000","1000000","01-Dec-12","01-Dec-14","01-Dec-12","30-Nov-14","COMPETITIVE SEALED BIDDING","5"
"XEROX CORPORATION","CT185720135403136","SUPPLIES/MATERIALS/EQUIPMENT","308695","308695","06-Jun-13","06-Jun-14","06-Jun-13","06-Jun-14","INTERGOVERNMENTAL PROCUREMENT","3"

