Contractor Name,Contract ID,Purpose,Value of Sandy Funding,Sandy Spending to Date,Current Start Date,Current End Date,Original Start Date,Original End Date,Procurement Method,Estimated Job Creation
"JOHNSON CONTROLS INC","CTA181920137205926","REQUIREMENTS-CONSTRUCTION","13087440","13087440","01-Dec-12","15-May-13","01-Dec-12","15-May-13","EMERGENCY","77"
"MILCON CONSTRUCTION CORP","CT181920151401298","CONSTRUCTION","1364180","1361387","05-Mar-14","02-Jun-14","05-Mar-14","02-Jun-14","COMPETITIVE SEALED BIDDING","7"
"MJCL ARCHITECT, PLLC","CTA181920157204248","REQUIREMENTS-SERVICES","122850","122186","08-Sep-14","15-Jul-15","08-Sep-14","15-Jul-15","MULTIPLE AWARDS","1"
"MJCL ARCHITECT, PLLC","CTA181920157204246","REQUIREMENTS-SERVICES","335160","307789","08-Sep-14","15-Jun-16","08-Sep-14","15-Jun-16","MULTIPLE AWARDS","2"
"MJCL ARCHITECT, PLLC","CTA181920157204247","REQUIREMENTS-SERVICES","299800","256151","08-Sep-14","01-Feb-16","08-Sep-14","01-Feb-16","MULTIPLE AWARDS","2"
"NEW YORK ENVIRONMENTAL SYSYEMS INC","CT181920141409907","CONSTRUCTION","1968000","1961000","15-Oct-13","18-Dec-13","15-Oct-13","18-Dec-13","COMPETITIVE SEALED BIDDING","12"
"NIRMAN CONSTRUCTION INC","CT181920151412948","SUPPLIES/MATERIALS/EQUIPMENT","694794","650840","29-Sep-14","27-Dec-14","29-Sep-14","27-Dec-14","COMPETITIVE SEALED BIDDING","6"
"NIRMAN CONSTRUCTION INC","CT181920151412947","CONSTRUCTION","947400","798842","29-Sep-14","27-Dec-14","29-Sep-14","27-Dec-14","COMPETITIVE SEALED BIDDING","5"
"PINNACLE ENVIRONMMENTAL CORP","CT181920141409324","CONSTRUCTION","1521000","1521000","06-Sep-13","09-Nov-13","06-Sep-13","09-Nov-13","COMPETITIVE SEALED BIDDING","9"
"THE URBAN GROUP LTD","CT181920121418256","CONSTRUCTION","223100","221001","13-Dec-10","30-Jun-13","13-Dec-10","13-Dec-12","COMPETITIVE SEALED BIDDING","1"
"U.S. COST INCORPORATED","CT100220151412046","CONSULTANT","279625","182896","01-Oct-14","30-Sep-15","01-Oct-14","30-Sep-15","RENEWAL OF CONTRACT","3"
"WHEELED COACH INDUSTRIES INC","DO185720131355273","","1481370","1481369","07-May-14","07-May-14","","","","13"
"WORKSPACE CONSULTING GROUP LLC","CT181920151415962","CONSTRUCTION","289969","289969","18-Nov-14","19-May-15","18-Nov-14","19-May-15","COMPETITIVE SEALED BIDDING","2"

